algorithm,constellation_name,delta_mean_gs_gs_break_rate,delta_mean_gs_gs_churn,delta_mean_gs_handover_rate,delta_mean_gs_renumber_count,delta_mean_gs_renumber_rate,delta_mean_sat_fstate_updates_add_mean,delta_mean_sat_fstate_updates_add_p95,delta_mean_sat_fstate_updates_delete_mean,delta_mean_sat_fstate_updates_delete_p95,delta_mean_sat_fstate_updates_modify_mean,delta_mean_sat_fstate_updates_modify_p95,delta_mean_sat_fstate_updates_total_mean,delta_mean_sat_fstate_updates_total_p95,delta_mean_sat_fstate_updates_touched_satellite_count,delta_mean_sat_fstate_updates_touched_satellite_rate,delta_mean_sat_gs_break_rate,delta_mean_sat_gs_churn,delta_mean_time_index,delta_mean_time_since_epoch_ns,end_time_hours,isl_scenario,num_orbits,num_sats_per_orbit,param_distance_mode,param_plane_weight,param_prediction_horizon_minutes,param_sat_weight,param_segment_count,param_segment_mode,param_shell_weight,param_time_step_minutes,run_dir,time_step_minutes,timestep_mean_compute_time_ms,timestep_mean_explicit_failover_broken_adj_count,timestep_mean_explicit_failover_broken_adj_rate,timestep_mean_explicit_failover_count,timestep_mean_explicit_failover_delivered_count,timestep_mean_explicit_failover_delivered_rate,timestep_mean_explicit_failover_dynamic_egress_repair_count,timestep_mean_explicit_failover_dynamic_egress_repair_rate,timestep_mean_explicit_failover_dynamic_egress_unavailable_count,timestep_mean_explicit_failover_dynamic_egress_unavailable_rate,timestep_mean_explicit_failover_egress_not_visible_count,timestep_mean_explicit_failover_egress_not_visible_rate,timestep_mean_explicit_failover_protected_repair_count,timestep_mean_explicit_failover_protected_repair_rate,timestep_mean_fstate_size_count,timestep_mean_fstate_size_max,timestep_mean_fstate_size_mean,timestep_mean_fstate_size_median,timestep_mean_fstate_size_min,timestep_mean_fstate_size_p95,timestep_mean_srv6_srh_bytes_count,timestep_mean_srv6_srh_bytes_max,timestep_mean_srv6_srh_bytes_mean,timestep_mean_srv6_srh_bytes_median,timestep_mean_srv6_srh_bytes_min,timestep_mean_srv6_srh_bytes_p95,timestep_mean_stretch_dist_count,timestep_mean_stretch_dist_max,timestep_mean_stretch_dist_mean,timestep_mean_stretch_dist_median,timestep_mean_stretch_dist_min,timestep_mean_stretch_dist_p95,timestep_mean_stretch_hop_count,timestep_mean_stretch_hop_max,timestep_mean_stretch_hop_mean,timestep_mean_stretch_hop_median,timestep_mean_stretch_hop_min,timestep_mean_stretch_hop_p95,timestep_mean_strict_header_bytes_count,timestep_mean_strict_header_bytes_max,timestep_mean_strict_header_bytes_mean,timestep_mean_strict_header_bytes_median,timestep_mean_strict_header_bytes_min,timestep_mean_strict_header_bytes_p95,timestep_mean_time_index,timestep_mean_time_since_epoch_ns
topological_routing,Telesat-synthetic,0.0,0.9538936517656675,0.999413145539906,23.985915492957748,0.999413145539906,0.06833594157537823,1.0,0.06833594157537823,1.0,0.0,0.0,0.13667188315075646,1.0,42.943661971830984,0.12234661530436174,0.0,0.28339385792437444,36.0,10800000000000.0,6.0,grid,27,13,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,5.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/interval_5min,5.0,224.19245452778594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,9.055555555555555,4.525166191832858,4.0,4.0,6.034722222222222,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0002876799497447,1.000000712356617,1.0,0.9999999999999998,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,10650000000000.0
shortest_path_link_state,Telesat-synthetic,0.0,0.09736794409650235,0.06245175235448529,1.4988420565076424,0.06245175235448529,1.2198799433630318,1.219082908754053,1.2198799433630323,1.219082908754053,0.1180402977531281,0.6639647985178323,2.5578001844791873,3.104909680407596,254.89393237610005,0.7261935395330479,0.0,0.04521450435839813,1080.0,10800216000000.0,6.0,grid,27,13,,100.0,5,1.0,2,plane_then_inplane,1000.0,0.16667,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/link_state_interval_10s,0.16667,448.1124978685171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,552.0,1.0476059691257995,1.0005969028976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.5,10795215900000.0
topological_routing,Telesat-synthetic,0.0,0.38376024383351515,0.35190343546889485,8.445682451253482,0.35190343546889485,0.024061773365394497,0.0,0.024061773365394497,0.0,0.0,0.0,0.048123546730788995,0.3342618384401114,15.362116991643454,0.0437667150759072,0.0,0.08124717282098896,180.0,10800000000000.0,6.0,grid,27,13,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/interval_1min,1.0,242.69314241655593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,8.972222222222221,4.523171889838556,4.0,4.0,6.036111111111111,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.000285640001377,1.0000007762275558,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Telesat-synthetic,0.0,0.48080921238545066,0.35190343546889485,8.445682451253482,0.35190343546889485,6.801355458737059,6.796657381615599,6.804133038116311,6.7994428969359335,0.5087573109857237,3.0445682451253484,14.114245807839112,16.700557103064067,351.0,1.0,0.0,0.2464070026744122,180.0,10800000000000.0,6.0,grid,27,13,,100.0,5,1.0,2,plane_then_inplane,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/link_state_interval_1min,1.0,346.58898770263073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0472133083252755,1.000596829933207,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Telesat-synthetic,0.0,0.07236895100388709,0.06245175235448529,1.4988420565076424,0.06245175235448529,0.004270205289195553,0.0,0.004270205289195553,0.0,0.0,0.0,0.008540410578391106,0.0004631773969430292,2.8300138953219083,0.008062717650489765,0.0,0.014741676332690681,1080.0,10800216000000.0,6.0,grid,27,13,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,0.16667,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/interval_10s,0.16667,282.1460736935185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,8.971296296296297,4.523116492560835,4.0,4.0,6.04375,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0002630179381407,1.0000006906300023,1.0,0.9999999999999998,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.5,10795215900000.0
shortest_path_link_state,Telesat-synthetic,0.0,0.9834660134721374,0.999413145539906,23.985915492957748,0.999413145539906,20.882107459572257,20.87323943661972,20.910196220055376,20.901408450704224,0.21042494281930896,0.9295774647887324,42.0027286224469,42.70422535211268,351.0,1.0,0.0,0.5893657290370906,36.0,10800000000000.0,6.0,grid,27,13,,100.0,5,1.0,2,plane_then_inplane,1000.0,5.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/telesat/link_state_interval_5min,5.0,441.7843468888994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,351.0,351.0,351.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,552.0,1.0462511466574942,1.0005913091957972,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,10650000000000.0
topological_routing,Kuiper-synthetic,0.0,0.9779036538069,1.0,24.0,1.0,0.020761245674740504,0.0,0.020761245674740504,0.0,0.0,0.0,0.04152249134948101,0.0,46.40845070422535,0.04014571860227106,0.0,0.2794234408759362,36.0,10800000000000.0,6.0,grid,34,34,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,5.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/kuiper/interval_5min,5.0,2074.057994263895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,8.0,4.30979671280277,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000003008196159,1.0000000012159966,1.0,0.9999999999999998,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,10650000000000.0
topological_routing,Kuiper-synthetic,0.0,0.7120574462072591,0.7093779015784589,17.025069637883007,0.7093779015784589,0.01472756889090225,0.0,0.01472756889090225,0.0,0.0,0.0,0.0294551377818045,0.0,32.90529247910864,0.028464785881581876,0.0,0.07739343074604903,180.0,10800000000000.0,6.0,grid,34,34,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/kuiper/interval_1min,1.0,2372.7481010665724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,8.0,4.309813533256431,4.0,4.0,5.990972222222222,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000001580247944,1.000000000459459,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Kuiper-synthetic,0.0,0.8031569173630457,0.7093779015784589,17.025069637883007,0.7093779015784589,16.11777717805124,16.11699164345404,16.123343389461247,16.12256267409471,0.27826237819394506,1.8676880222841226,32.519382945706546,34.10793871866295,1156.0,1.0,0.0,0.3721446058351242,180.0,10800000000000.0,6.0,grid,34,34,,100.0,5,1.0,2,plane_then_inplane,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/kuiper/link_state_interval_1min,1.0,3897.7088692499456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0000000000000002,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,Kuiper-synthetic,0.0,0.1454494498929326,0.1369654160876949,3.287169986104678,0.1369654160876949,0.002843572652339689,0.0,0.002843572652339689,0.0,0.0,0.0,0.005687145304679378,0.0,6.523390458545623,0.005643071330921827,0.0,0.016526037301005988,1080.0,10800216000000.0,6.0,grid,34,34,torus_weighted_pivot,100.0,5.0,1.0,2,plane_then_inplane,1000.0,0.16667,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/kuiper/interval_10s,0.16667,2568.832411615734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,8.0,4.309870402409333,4.0,4.0,5.995601851851852,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.000000149277894,1.0000000004340357,1.0,0.9999999999999998,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.5,10795215900000.0
shortest_path_link_state,Kuiper-synthetic,0.0,0.9968871198203713,1.0,24.0,1.0,22.90235878941468,22.901408450704224,22.90235878941468,22.901408450704224,0.12723573273551345,0.6056338028169014,45.931953311564875,46.40845070422535,1156.0,1.0,0.0,0.44825933687476643,36.0,10800000000000.0,6.0,grid,34,34,,100.0,5,1.0,2,plane_then_inplane,1000.0,5.0,/home/sergio/phd/ntn-paper-eval-data/sampling_sensitivity/kuiper/link_state_interval_5min,5.0,4443.311953888882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0000000000000002,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,10650000000000.0
