time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,strict_header_bytes_min,strict_header_bytes_max,strict_header_bytes_mean,strict_header_bytes_median,strict_header_bytes_p95,strict_header_bytes_count,srv6_srh_bytes_min,srv6_srh_bytes_max,srv6_srh_bytes_mean,srv6_srh_bytes_median,srv6_srh_bytes_p95,srv6_srh_bytes_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,explicit_failover_count,explicit_failover_delivered_count,explicit_failover_delivered_rate,explicit_failover_protected_repair_count,explicit_failover_protected_repair_rate,explicit_failover_broken_adj_count,explicit_failover_broken_adj_rate,explicit_failover_egress_not_visible_count,explicit_failover_egress_not_visible_rate,compute_time_ms
14,840000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,46.8,48.0,84.0,140,0.0,280.0,121.88571428571429,120.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0000000000000002,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.24267397075891
15,900000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,84.0,45.16417910447761,48.0,84.0,134,0.0,264.0,116.71641791044776,120.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.88458590954542
16,960000000000,2.0,16.0,2.449826989619377,2.0,4.0,1156,0.0,88.0,44.4822695035461,48.0,84.0,141,0.0,280.0,114.09929078014184,120.0,264.0,141,1.0,1.0,1.0,1.0,1.0,141,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,141,141.0,141.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.02521851658821
17,1020000000000,2.0,14.0,2.4558823529411766,2.0,4.0,1156,0.0,88.0,46.51748251748252,48.0,80.0,143,0.0,280.0,121.11888111888112,120.0,248.0,143,1.0,1.0,1.0,1.0,1.0,143,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,143,143.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.01675467193127
18,1080000000000,2.0,16.0,2.434256055363322,2.0,4.0,1156,0.0,84.0,45.66153846153846,48.0,84.0,130,0.0,264.0,117.84615384615384,120.0,264.0,130,1.0,1.0,1.0,1.0,1.0,130,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,130,130.0,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.79484546929598
19,1140000000000,2.0,15.0,2.4472318339100347,2.0,4.0,1156,0.0,88.0,44.31884057971015,44.0,84.0,138,0.0,280.0,113.6231884057971,104.0,264.0,138,1.0,1.0,1.0,1.0,1.0,138,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,138,138.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.73315204679966
20,1200000000000,2.0,14.0,2.454152249134948,2.0,4.0,1156,0.0,88.0,46.666666666666664,48.0,84.0,138,0.0,280.0,121.97101449275362,120.0,264.0,138,1.0,1.0,1.0,1.0,1.0,138,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,138,138.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.1316002085805
21,1260000000000,2.0,16.0,2.4394463667820068,2.0,4.0,1156,0.0,88.0,46.64705882352941,48.0,84.0,136,0.0,280.0,119.88235294117646,120.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32746311277151
22,1320000000000,2.0,15.0,2.457612456747405,2.0,4.0,1156,0.0,88.0,44.394366197183096,44.0,84.0,142,0.0,280.0,113.69014084507042,104.0,264.0,142,1.0,1.0,1.0,1.0,1.0,142,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,142,142.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.5466001778841
23,1380000000000,2.0,14.0,2.4567474048442905,2.0,4.0,1156,0.0,88.0,46.751773049645394,48.0,84.0,141,0.0,280.0,122.15602836879432,120.0,264.0,141,1.0,1.0,1.0,1.0,1.0,141,1.0,1.0000000000000002,1.0,1.0,1.0,141,141.0,141.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0030465349555
24,1440000000000,2.0,16.0,2.4282006920415227,2.0,4.0,1156,0.0,88.0,45.582089552238806,48.0,84.0,134,0.0,280.0,118.38805970149254,120.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.67622944712639
25,1500000000000,2.0,17.0,2.457612456747405,2.0,4.0,1156,0.0,88.0,44.95890410958904,44.0,84.0,146,0.0,280.0,115.72602739726027,104.0,264.0,146,1.0,1.0,1.0,1.0,1.0,146,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,146,146.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125.30558556318283
26,1560000000000,2.0,14.0,2.457612456747405,2.0,4.0,1156,0.0,88.0,46.97142857142857,48.0,84.0,140,0.0,280.0,123.6,120.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5566554069519
27,1620000000000,2.0,16.0,2.4377162629757785,2.0,4.0,1156,0.0,88.0,44.44117647058823,44.0,84.0,136,0.0,280.0,113.70588235294117,104.0,264.0,136,1.0,1.0,1.0,1.0,1.0,136,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,136,136.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122.69761133939028
28,1680000000000,2.0,16.0,2.4455017301038064,2.0,4.0,1156,0.0,88.0,44.80597014925373,44.0,84.0,134,0.0,280.0,116.35820895522389,104.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30798296630383
29,1740000000000,2.0,13.0,2.4567474048442905,2.0,4.0,1156,0.0,88.0,47.371428571428574,48.0,84.0,140,0.0,280.0,124.68571428571428,120.0,264.0,140,1.0,1.0,1.0,1.0,1.0,140,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,140,140.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.41642905771732
30,1800000000000,2.0,15.0,2.438581314878893,2.0,4.0,1156,0.0,88.0,44.11940298507463,44.0,84.0,134,0.0,280.0,113.61194029850746,104.0,264.0,134,1.0,1.0,1.0,1.0,1.0,134,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,134,134.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33970288187265
