time_index,time_since_epoch_ns,gs_handover_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,60000000000,0.3333333333333333,0.17818138651471985,0.0,0.39311594202898553,0.0
2,120000000000,0.4166666666666667,0.3200379867046534,0.0,0.5960144927536232,0.0
3,180000000000,0.20833333333333334,0.14458689458689458,0.0,0.32608695652173914,0.0
4,240000000000,0.5833333333333334,0.35090218423551756,0.0,0.6902173913043478,0.0
5,300000000000,0.25,0.13081671415004748,0.0,0.34782608695652173,0.0
6,360000000000,0.4166666666666667,0.32015669515669515,0.0,0.5996376811594203,0.0
7,420000000000,0.3333333333333333,0.24477682811016144,0.0,0.5090579710144928,0.0
8,480000000000,0.2916666666666667,0.2543922127255461,0.0,0.43478260869565216,0.0
9,540000000000,0.4583333333333333,0.25866571699905033,0.0,0.5471014492753623,0.0
10,600000000000,0.5,0.40384615384615385,0.0,0.6920289855072463,0.0
11,660000000000,0.125,0.04249762583095917,0.0,0.17753623188405798,0.0
12,720000000000,0.3333333333333333,0.22613960113960113,0.0,0.447463768115942,0.0
13,780000000000,0.375,0.20833333333333334,0.0,0.4927536231884058,0.0
14,840000000000,0.4583333333333333,0.31790123456790126,0.0,0.6086956521739131,0.0
15,900000000000,0.20833333333333334,0.1502849002849003,0.0,0.3442028985507246,0.0
16,960000000000,0.4166666666666667,0.29427825261158597,0.0,0.5217391304347826,0.0
17,1020000000000,0.2916666666666667,0.21213200379867048,0.0,0.41847826086956524,0.0
18,1080000000000,0.4166666666666667,0.34140550807217473,0.0,0.5978260869565217,0.0
19,1140000000000,0.16666666666666666,0.10671889838556506,0.0,0.25,0.0
20,1200000000000,0.2916666666666667,0.20762108262108261,0.0,0.40398550724637683,0.0
21,1260000000000,0.375,0.21866096866096865,0.0,0.48731884057971014,0.0
22,1320000000000,0.5416666666666666,0.3789173789173789,0.0,0.6865942028985508,0.0
23,1380000000000,0.20833333333333334,0.1103988603988604,0.0,0.302536231884058,0.0
24,1440000000000,0.3333333333333333,0.20975783475783477,0.0,0.37318840579710144,0.0
25,1500000000000,0.3333333333333333,0.25273029439696104,0.0,0.5090579710144928,0.0
26,1560000000000,0.4583333333333333,0.33499525166191835,0.0,0.5960144927536232,0.0
27,1620000000000,0.25,0.16607312440645774,0.0,0.37318840579710144,0.0
28,1680000000000,0.3333333333333333,0.2704178537511871,0.0,0.4746376811594203,0.0
29,1740000000000,0.4166666666666667,0.29653371320037986,0.0,0.5887681159420289,0.0
30,1800000000000,0.5416666666666666,0.38342830009496676,0.0,0.7228260869565217,0.0
31,1860000000000,0.3333333333333333,0.18067426400759734,0.0,0.4365942028985507,0.0
32,1920000000000,0.3333333333333333,0.23812915479582147,0.0,0.42391304347826086,0.0
33,1980000000000,0.125,0.07514245014245015,0.0,0.17753623188405798,0.0
34,2040000000000,0.625,0.4544159544159544,0.0,0.7518115942028986,0.0
35,2100000000000,0.20833333333333334,0.12345679012345678,0.0,0.302536231884058,0.0
36,2160000000000,0.2916666666666667,0.2543922127255461,0.0,0.447463768115942,0.0
37,2220000000000,0.2916666666666667,0.19658119658119658,0.0,0.4221014492753623,0.0
38,2280000000000,0.5,0.37250712250712253,0.0,0.6757246376811594,0.0
39,2340000000000,0.375,0.23694207027540362,0.0,0.4945652173913043,0.0
40,2400000000000,0.3333333333333333,0.28205128205128205,0.0,0.47282608695652173,0.0
41,2460000000000,0.16666666666666666,0.0795346628679962,0.0,0.22826086956521738,0.0
42,2520000000000,0.5833333333333334,0.4178537511870845,0.0,0.7192028985507246,0.0
43,2580000000000,0.125,0.08179012345679013,0.0,0.2028985507246377,0.0
44,2640000000000,0.375,0.2990265906932574,0.0,0.5416666666666666,0.0
45,2700000000000,0.2916666666666667,0.15800094966761632,0.0,0.3967391304347826,0.0
46,2760000000000,0.5,0.3126780626780627,0.0,0.6648550724637681,0.0
47,2820000000000,0.4166666666666667,0.2706552706552707,0.0,0.5489130434782609,0.0
48,2880000000000,0.375,0.25759734093067427,0.0,0.4891304347826087,0.0
49,2940000000000,0.20833333333333334,0.11467236467236468,0.0,0.28804347826086957,0.0
50,3000000000000,0.4583333333333333,0.32727920227920226,0.0,0.5887681159420289,0.0
51,3060000000000,0.25,0.2045346628679962,0.0,0.41847826086956524,0.0
52,3120000000000,0.4583333333333333,0.3678774928774929,0.0,0.6612318840579711,0.0
53,3180000000000,0.2916666666666667,0.15408357075023743,0.0,0.3894927536231884,0.0
54,3240000000000,0.4583333333333333,0.35102089268755937,0.0,0.6141304347826086,0.0
55,3300000000000,0.16666666666666666,0.11158594491927826,0.0,0.24094202898550723,0.0
56,3360000000000,0.5,0.3351139601139601,0.0,0.6177536231884058,0.0
57,3420000000000,0.20833333333333334,0.1411443494776828,0.0,0.29891304347826086,0.0
58,3480000000000,0.5833333333333334,0.4458689458689459,0.0,0.7409420289855072,0.0
59,3540000000000,0.20833333333333334,0.14494301994301995,0.0,0.338768115942029,0.0
60,3600000000000,0.4583333333333333,0.3014007597340931,0.0,0.6086956521739131,0.0
61,3660000000000,0.25,0.13853276353276353,0.0,0.3351449275362319,0.0
62,3720000000000,0.5,0.4074074074074074,0.0,0.6938405797101449,0.0
63,3780000000000,0.20833333333333334,0.05864197530864197,0.0,0.26992753623188404,0.0
64,3840000000000,0.5,0.3670465337132004,0.0,0.6340579710144928,0.0
65,3900000000000,0.20833333333333334,0.14482431149097816,0.0,0.30434782608695654,0.0
66,3960000000000,0.5416666666666666,0.3563627730294397,0.0,0.6757246376811594,0.0
67,4020000000000,0.125,0.10826210826210826,0.0,0.23369565217391305,0.0
68,4080000000000,0.5833333333333334,0.4146486229819563,0.0,0.730072463768116,0.0
69,4140000000000,0.16666666666666666,0.1437559354226021,0.0,0.29347826086956524,0.0
70,4200000000000,0.4583333333333333,0.36182336182336183,0.0,0.6268115942028986,0.0
71,4260000000000,0.125,0.045584045584045586,0.0,0.17028985507246377,0.0
72,4320000000000,0.5,0.35529439696106363,0.0,0.6413043478260869,0.0
73,4380000000000,0.20833333333333334,0.14565527065527065,0.0,0.30978260869565216,0.0
74,4440000000000,0.5416666666666666,0.38164767331433996,0.0,0.6847826086956522,0.0
75,4500000000000,0.25,0.17818138651471985,0.0,0.391304347826087,0.0
76,4560000000000,0.375,0.27801519468186137,0.0,0.5144927536231884,0.0
77,4620000000000,0.20833333333333334,0.1437559354226021,0.0,0.32971014492753625,0.0
78,4680000000000,0.4583333333333333,0.3409306742640076,0.0,0.6231884057971014,0.0
79,4740000000000,0.2916666666666667,0.20797720797720798,0.0,0.45108695652173914,0.0
80,4800000000000,0.375,0.3142212725546059,0.0,0.532608695652174,0.0
81,4860000000000,0.2916666666666667,0.1581196581196581,0.0,0.3695652173913043,0.0
82,4920000000000,0.5416666666666666,0.3994539411206078,0.0,0.6992753623188406,0.0
83,4980000000000,0.3333333333333333,0.17022792022792022,0.0,0.4365942028985507,0.0
84,5040000000000,0.375,0.2672127255460589,0.0,0.519927536231884,0.0
85,5100000000000,0.16666666666666666,0.13687084520417853,0.0,0.27717391304347827,0.0
86,5160000000000,0.6666666666666666,0.47293447293447294,0.0,0.7916666666666666,0.0
87,5220000000000,0.125,0.07680436847103514,0.0,0.19384057971014493,0.0
88,5280000000000,0.2916666666666667,0.26424501424501423,0.0,0.43478260869565216,0.0
