time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate,sat_fstate_updates_add_mean,sat_fstate_updates_add_p95,sat_fstate_updates_delete_mean,sat_fstate_updates_delete_p95,sat_fstate_updates_modify_mean,sat_fstate_updates_modify_p95,sat_fstate_updates_total_mean,sat_fstate_updates_total_p95,sat_fstate_updates_touched_satellite_count,sat_fstate_updates_touched_satellite_rate
1,60000000000,0.7083333333333334,17.0,0.7083333333333334,0.0021986735870818917,0.00021626297577854672,0.03804347826086957,0.2644927536231884,0.11072664359861592,0.0,0.11418685121107267,0.0,0.0,0.0,0.22491349480968859,0.0,33.0,0.028546712802768166
2,120000000000,0.6666666666666666,16.0,0.6666666666666666,0.0020544982698961936,0.00018021914648212227,0.028985507246376812,0.2572463768115942,0.10207612456747404,0.0,0.09515570934256055,0.0,0.0,0.0,0.1972318339100346,0.0,30.0,0.025951557093425604
3,180000000000,0.75,18.0,0.75,0.01668829296424452,0.010993367935409459,0.043478260869565216,0.2644927536231884,0.10813148788927336,0.0,0.11764705882352941,0.0,0.03200692041522491,0.0,0.2577854671280277,0.0,40.0,0.03460207612456748
4,240000000000,0.7083333333333334,17.0,0.7083333333333334,0.0021626297577854673,0.00018021914648212227,0.034420289855072464,0.26811594202898553,0.10986159169550173,0.0,0.11072664359861592,0.0,0.0,0.0,0.22058823529411764,0.0,33.0,0.028546712802768166
5,300000000000,0.6666666666666666,16.0,0.6666666666666666,0.002090542099192618,7.20876585928489e-05,0.02717391304347826,0.2536231884057971,0.09948096885813149,0.0,0.092560553633218,0.0,0.0,0.0,0.19204152249134948,0.0,30.0,0.025951557093425604
6,360000000000,0.75,18.0,0.75,0.016652249134948095,0.00623558246828143,0.05253623188405797,0.2554347826086957,0.11332179930795848,0.0,0.11332179930795848,0.0,0.0328719723183391,0.0,0.25951557093425603,0.0,40.0,0.03460207612456748
7,420000000000,0.7083333333333334,17.0,0.7083333333333334,0.002090542099192618,0.00018021914648212227,0.057971014492753624,0.22644927536231885,0.10640138408304499,0.0,0.11505190311418685,0.0,0.0,0.0,0.22145328719723184,0.0,33.0,0.028546712802768166
8,480000000000,0.6666666666666666,16.0,0.6666666666666666,0.002234717416378316,0.00018021914648212227,0.025362318840579712,0.2554347826086957,0.1046712802768166,0.0,0.09602076124567474,0.0,0.0,0.0,0.20069204152249134,0.0,31.0,0.026816608996539794
9,540000000000,0.7083333333333334,17.0,0.7083333333333334,0.01676038062283737,0.004901960784313725,0.05434782608695652,0.24094202898550723,0.10553633217993079,0.0,0.10813148788927336,0.0,0.037197231833910036,0.0,0.2508650519031142,0.0,39.0,0.03373702422145329
10,600000000000,0.7083333333333334,17.0,0.7083333333333334,0.0019824106113033447,0.0001441753171856978,0.043478260869565216,0.24818840579710144,0.10640138408304499,0.0,0.11332179930795848,0.0,0.0,0.0,0.21972318339100347,0.0,33.0,0.028546712802768166
11,660000000000,0.75,18.0,0.75,0.0024149365628604383,0.00010813148788927336,0.036231884057971016,0.26811594202898553,0.1185121107266436,0.0,0.10640138408304499,0.0,0.0,0.0,0.22491349480968859,0.0,35.0,0.03027681660899654
12,720000000000,0.7083333333333334,17.0,0.7083333333333334,0.016327854671280277,0.008614475201845445,0.059782608695652176,0.2391304347826087,0.10640138408304499,0.0,0.11245674740484429,0.0,0.03546712802768166,0.0,0.25432525951557095,0.0,39.0,0.03373702422145329
13,780000000000,0.7083333333333334,17.0,0.7083333333333334,0.0020544982698961936,0.00018021914648212227,0.04528985507246377,0.24456521739130435,0.10640138408304499,0.0,0.1115916955017301,0.0,0.0,0.0,0.2179930795847751,0.0,33.0,0.028546712802768166
14,840000000000,0.7083333333333334,17.0,0.7083333333333334,0.002378892733564014,0.0001441753171856978,0.03985507246376811,0.2391304347826087,0.10813148788927336,0.0,0.10294117647058823,0.0,0.0,0.0,0.21107266435986158,0.0,33.0,0.028546712802768166
15,900000000000,0.6666666666666666,16.0,0.6666666666666666,0.016472029988465975,0.008686562860438294,0.04891304347826087,0.22282608695652173,0.0986159169550173,0.0,0.10034602076124567,0.0,0.03892733564013841,0.0,0.2378892733564014,0.0,38.0,0.0328719723183391
16,960000000000,0.6666666666666666,16.0,0.6666666666666666,0.0019463667820069203,0.00018021914648212227,0.04528985507246377,0.23007246376811594,0.10121107266435986,0.0,0.10380622837370242,0.0,0.0,0.0,0.2050173010380623,0.0,31.0,0.026816608996539794
17,1020000000000,0.7916666666666666,19.0,0.7916666666666666,0.0024509803921568627,0.00025230680507497115,0.03985507246376811,0.286231884057971,0.12629757785467127,0.0,0.1185121107266436,0.0,0.0,0.0,0.24480968858131488,0.0,37.0,0.03200692041522491
18,1080000000000,0.75,18.0,0.75,0.01625576701268743,0.006199538638985006,0.04528985507246377,0.25181159420289856,0.10553633217993079,0.0,0.11418685121107267,0.0,0.03373702422145329,0.0,0.25346020761245674,0.0,40.0,0.03460207612456748
