algorithm,constellation_name,delta_mean_gs_gs_break_rate,delta_mean_gs_gs_churn,delta_mean_gs_handover_rate,delta_mean_gs_renumber_count,delta_mean_gs_renumber_rate,delta_mean_sat_fstate_updates_add_mean,delta_mean_sat_fstate_updates_add_p95,delta_mean_sat_fstate_updates_delete_mean,delta_mean_sat_fstate_updates_delete_p95,delta_mean_sat_fstate_updates_modify_mean,delta_mean_sat_fstate_updates_modify_p95,delta_mean_sat_fstate_updates_total_mean,delta_mean_sat_fstate_updates_total_p95,delta_mean_sat_fstate_updates_touched_satellite_count,delta_mean_sat_fstate_updates_touched_satellite_rate,delta_mean_sat_gs_break_rate,delta_mean_sat_gs_churn,delta_mean_time_index,delta_mean_time_since_epoch_ns,end_time_hours,isl_scenario,num_orbits,num_sats_per_orbit,param_distance_mode,param_plane_weight,param_prediction_horizon_minutes,param_sat_weight,param_segment_count,param_segment_mode,param_segment_refresh_interval_steps,param_shell_weight,param_time_step_minutes,run_dir,time_step_minutes,timestep_mean_compute_time_ms,timestep_mean_explicit_failover_broken_adj_count,timestep_mean_explicit_failover_broken_adj_rate,timestep_mean_explicit_failover_count,timestep_mean_explicit_failover_delivered_count,timestep_mean_explicit_failover_delivered_rate,timestep_mean_explicit_failover_dynamic_egress_repair_count,timestep_mean_explicit_failover_dynamic_egress_repair_rate,timestep_mean_explicit_failover_dynamic_egress_unavailable_count,timestep_mean_explicit_failover_dynamic_egress_unavailable_rate,timestep_mean_explicit_failover_egress_not_visible_count,timestep_mean_explicit_failover_egress_not_visible_rate,timestep_mean_explicit_failover_protected_repair_count,timestep_mean_explicit_failover_protected_repair_rate,timestep_mean_fstate_size_count,timestep_mean_fstate_size_max,timestep_mean_fstate_size_mean,timestep_mean_fstate_size_median,timestep_mean_fstate_size_min,timestep_mean_fstate_size_p95,timestep_mean_srv6_srh_bytes_count,timestep_mean_srv6_srh_bytes_max,timestep_mean_srv6_srh_bytes_mean,timestep_mean_srv6_srh_bytes_median,timestep_mean_srv6_srh_bytes_min,timestep_mean_srv6_srh_bytes_p95,timestep_mean_stretch_dist_count,timestep_mean_stretch_dist_max,timestep_mean_stretch_dist_mean,timestep_mean_stretch_dist_median,timestep_mean_stretch_dist_min,timestep_mean_stretch_dist_p95,timestep_mean_stretch_hop_count,timestep_mean_stretch_hop_max,timestep_mean_stretch_hop_mean,timestep_mean_stretch_hop_median,timestep_mean_stretch_hop_min,timestep_mean_stretch_hop_p95,timestep_mean_strict_header_bytes_count,timestep_mean_strict_header_bytes_max,timestep_mean_strict_header_bytes_mean,timestep_mean_strict_header_bytes_median,timestep_mean_strict_header_bytes_min,timestep_mean_strict_header_bytes_p95,timestep_mean_time_index,timestep_mean_time_since_epoch_ns
explicit_path_routing,OneWeb-synthetic,0.020316095434177058,0.10796394977998483,0.4807335190343548,11.537604456824512,0.4807335190343548,0.13776694521819877,0.0,0.13766377798411222,0.0,0.03235152515561059,0.0,0.3077822483579215,0.9784122562674028,25.983286908077993,0.04009766498160184,0.0028238448135538756,0.00770082505129705,180.0,10800000000000.0,6.0,ring,18,36,,100.0,,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/oneweb/explicit_path_routing/ring,1.0,98.35268121743057,0.0,0.0,153.73611111111111,152.74444444444444,0.99360318457906,22.427777777777777,0.14576448328799396,0.9916666666666667,0.006396815420940434,0.9916666666666667,0.006396815420940434,0.0,0.0,648.0,15.677777777777777,2.905521262002744,2.0,2.0,5.702916666666672,153.73611111111111,286.0,111.29299964807865,101.28888888888889,0.0,264.56,152.74444444444444,1.1273007854332036,1.001658826266582,1.0,0.9999999999999999,1.0005645737389284,152.74444444444444,1.1746723099025729,1.0021500508858965,1.0,1.0,1.0006286549707601,153.73611111111111,89.5,42.26048188377882,43.32222222222222,0.0,84.14,179.5,10770000000000.0
topological_routing,OneWeb-synthetic,0.0,0.48692523515401087,0.4807335190343548,11.537604456824512,0.4807335190343548,0.01780494514942055,0.0,0.01780494514942055,0.0,0.0,0.0,0.0356098902988411,0.05459610027855128,22.331476323119777,0.034462154819629276,0.0,0.060827472861285904,180.0,10800000000000.0,6.0,grid_seam,18,36,torus_weighted_pivot,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/oneweb/topological_routing/grid_seam,1.0,1130.3640050750798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,9.594444444444445,4.532257373113856,4.0,3.0,6.975416666666669,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0000000004348835,1.0000000000007878,1.0,0.9999999999999999,1.0000000000000002,552.0,1.0027777777777778,1.0000050322061191,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,OneWeb-synthetic,0.0,0.4902961123894879,0.4807335190343548,11.537604456824512,0.4807335190343548,0.01780494514942055,0.0,0.01780494514942055,0.0,0.0,0.0,0.0356098902988411,0.05459610027855128,22.331476323119777,0.034462154819629276,0.0,0.0668837118997673,180.0,10800000000000.0,6.0,grid,18,36,torus_weighted_pivot,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/oneweb/topological_routing/grid,1.0,1474.1614559587713,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,648.0,9.683333333333334,4.643368484224966,4.0,4.0,6.999027777777778,,,,,,,552.0,1.0000000229040547,1.0000000000414928,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
topological_routing,OneWeb-synthetic,0.0,0.5199073513382583,0.4807335190343548,11.537604456824512,0.4807335190343548,0.01780494514942055,0.0,0.01780494514942055,0.0,0.0,0.0,0.0356098902988411,0.05459610027855128,22.331476323119777,0.034462154819629276,0.0,0.057403610280041706,180.0,10800000000000.0,6.0,ring,18,36,,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/oneweb/topological_routing/ring,1.0,522.3425895383116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,7.683333333333334,2.6433684842249674,2.0,2.0,4.999027777777778,0.0,0.0,0.0,0.0,0.0,0.0,43.58611111111111,1.0,1.0,1.0,1.0,1.0,43.58611111111111,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
explicit_path_routing_strict_r3,Starlink-550,0.0,0.8087683177909655,0.8119777158774368,19.487465181058496,0.8119777158774368,0.3008567569848911,0.0,0.3008567569848911,0.0,0.02353443909850594,0.0,0.6252479530682882,0.0,40.008356545961,0.02525780084972285,0.0,0.06015265233579995,180.0,10800000000000.0,6.0,grid,22,72,,,,,2,,3,,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/explicit_path_routing_strict_r3/grid,1.0,278.6992953081305,0.0,0.0,552.0,403.18333333333334,0.7304045893719807,,,,,148.81666666666666,0.26959541062801917,0.0,0.0,1584.0,31.413888888888888,4.603175855780017,4.0,4.0,5.565972222222213,552.0,606.8,246.49528985507246,232.93333333333334,0.0,528.3133333333336,403.18333333333334,1.0188743062740946,1.0004301980108725,1.0,0.9999999999999999,1.0023215748910383,403.18333333333334,1.0,1.0,1.0,1.0,1.0,552.0,169.7,79.28985507246374,76.23333333333333,0.0,150.07833333333343,179.5,10770000000000.0
explicit_path_routing_strict_r3,Starlink-550,0.057895321141657595,0.14967603245730854,0.8119777158774368,19.487465181058496,0.8119777158774368,0.08880940322444493,0.0,0.08874785459047292,0.0,0.00512612194367069,0.0,0.18268337975858867,0.0,40.008356545961,0.02525780084972285,0.002574491432430153,0.006435715675792278,180.0,10800000000000.0,6.0,ring,22,72,,,,,2,,3,,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/explicit_path_routing_strict_r3/ring,1.0,87.19354539902673,0.0,0.0,126.73611111111111,86.68888888888888,0.6846990147870862,,,,,40.047222222222224,0.31530098521291394,0.0,0.0,1584.0,13.533333333333333,2.3354587542087546,2.0,2.0,3.5659722222222134,126.73611111111111,566.6222222222223,239.14507358419357,235.7111111111111,0.0,533.7511111111114,86.68888888888888,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,86.68888888888888,1.0,1.0,1.0,1.0,1.0,126.73611111111111,159.65555555555557,76.32062837769573,76.92777777777778,0.0,151.43777777777785,179.5,10770000000000.0
dra_routing,Starlink-550,0.0,0.8130172378991569,0.8119777158774368,19.487465181058496,0.8119777158774368,0.012302692664809637,0.0,0.012302692664809637,0.0,0.0,0.0,0.024605385329619273,0.0,38.48189415041783,0.024294125094960702,0.0,0.0842992805257778,180.0,10800000000000.0,6.0,grid_seam,22,72,,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/dra_routing/grid_seam,1.0,817.9785419833632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,8.0,4.149766764870935,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0388888888889,1.2257947979866741,1.0208458921871262,1.0,0.9999999999999999,1.1048734559918936,425.0388888888889,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
dra_routing,Starlink-550,0.0,0.8131131161438783,0.8119777158774368,19.487465181058496,0.8119777158774368,0.012302692664809637,0.0,0.012302692664809637,0.0,0.0,0.0,0.024605385329619273,0.0,38.48189415041783,0.024294125094960702,0.0,0.0850316359978616,180.0,10800000000000.0,6.0,grid,22,72,,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/dra_routing/grid,1.0,893.3826925916242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,8.0,4.240675855780022,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,1.256633130849306,1.0253488285180965,1.0,0.9999999999999999,1.1210411385833665,552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
dra_routing,Starlink-550,0.0,0.8051249444915433,0.8119777158774368,19.487465181058496,0.8119777158774368,0.012302692664809637,0.0,0.012302692664809637,0.0,0.0,0.0,0.024605385329619273,0.0,38.48189415041783,0.024294125094960702,0.0,0.04594781379252132,180.0,10800000000000.0,6.0,ring,22,72,,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/dra_routing/ring,1.0,775.7291306444896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,6.0,2.240675855780022,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,66.05555555555556,1.0,1.0,1.0,1.0,1.0,66.05555555555556,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5,10770000000000.0
shortest_path_link_state,Starlink-550,0.0,0.8247597997658549,0.8119777158774368,19.487465181058496,0.8119777158774368,19.044847851776844,19.044568245125348,19.044847851776844,19.044568245125348,0.19733195464393233,1.3722841225626718,38.28702765819755,39.46142061281338,1584.0,1.0,0.0,0.11059556802941208,180.0,10800000000000.0,6.0,grid,22,72,,100.0,5,1.0,2,plane_then_inplane,,1000.0,1.0,/home/sergio/phd/ntn-paper-eval-data/starlink/shortest_path_link_state/grid,1.0,11877.5215380049,,,,,,,,,,,,,,1584.0,1584.0,1584.0,1584.0,1584.0,1584.0,,,,,,,552.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,552.0,1.0,1.0,1.0,1.0,1.0,,,,,,,179.5,10770000000000.0
